datetime,author,message,ohw20_repo
2020-08-20 15:08:09+00:00,participant-21,"Merge pull request #1 from cbirdferrer/patch-1

adding repo link",False
2020-08-17 16:24:17+00:00,participant-21,deleting old presentation_figs file,True
2020-08-14 20:00:38+00:00,participant-21,adding improvements to interpolate notebook to calculate 3D interpolation though it is still buggy. also adding a notebook for presentation figs.,True
2020-08-14 20:00:38+00:00,participant-21,merging changes,True
2020-08-14 20:00:38+00:00,participant-21,merging interpolate notebook,True
2020-08-12 22:51:52+00:00,participant-21,adding interpolation code based on pykrige with some various visualizations,True
2020-08-12 20:47:06+00:00,participant-21,adding code to manage and upload the zarr data,True
2020-08-12 20:47:06+00:00,participant-21,updating manage zarr code,True
2020-08-14 17:49:14+00:00,participant-17,add .gitignore to ignore *.ipynb chckpoints,True
2020-08-14 17:49:14+00:00,participant-17,Merge branch 'master' of github.com:oceanhackweek/ohw20-proj-marine-heat-waves,True
2020-08-14 17:49:14+00:00,participant-17,savees regions as netCDF,True
2020-08-13 21:18:29+00:00,participant-17, commented out a few things,True
2020-08-13 21:17:59+00:00,participant-17,regions... i broke a version of my ipynb,True
2020-07-20 23:15:27+00:00,participant-17,ignore,False
2020-07-08 23:20:11+00:00,participant-17,updated start index,False
2020-07-08 23:20:11+00:00,participant-17,"made this a function, applies to both (2) days",False
2020-07-08 23:20:11+00:00,participant-17,quick wavelet on teh adcp data,False
2020-06-14 23:31:31+00:00,participant-17,trying to make a more elegant spectra.. still messy,False
2020-06-14 23:31:31+00:00,participant-17,update some signature scripts,False
2020-09-05 06:07:40+00:00,participant-18,Added Synth,True
2020-09-05 06:06:40+00:00,participant-18,added synthclim,True
2020-09-05 04:16:38+00:00,participant-18,Package set up,True
2020-09-05 04:16:38+00:00,participant-18,Merge branch 'master' of https://github.com/oceanhackweek/ohw20-proj-marine-heat-waves into master,True
2020-09-04 07:48:50+00:00,participant-18,Clean up stage 1,True
2020-09-04 07:48:50+00:00,participant-18,added heatwavexr,True
